S.No.,Application Number,Application Type,Institute Name,Inst Address,Inst Address 2,CITY,District,Pincode,Minority Institute,Womens institute,State,Region,Inst Type,Program,Course,Level,Specialization,Intake,Approval
1,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Pharmacy,Pharmacy,Graduate,B. PHARMACY,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,ELECTRICAL & COMMUNICATION,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,ELECTRICAL & ELECTRONICS,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,MECHANICAL,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,CIVIL,120,Yes
2,1-9557561,New Institute,Apex Business School,"IS-2018, INDUSTRIAL AREA, RAMCHANDRA PURA, SITAPURA EXTENSION, JAIPUR",JAIPUR,JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Management,PG Diploma in Management,Post Graduate,PGDM,120,Yes
3,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,120,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics & Communicaton,60,Yes
4,1-5536381,New Institute,B M GROUP OF INSTITUTIONS,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",,GURGAON,GURGAON,122506,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,,120,Yes
,1-5536381,New Institute,B M GROUP OF INSTITUTIONS,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",,GURGAON,GURGAON,122506,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,,120,Yes
,1-5536381,New Institute,B M GROUP OF INSTITUTIONS,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",,GURGAON,GURGAON,122506,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,,120,Yes
,1-5536381,New Institute,B M GROUP OF INSTITUTIONS,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",,GURGAON,GURGAON,122506,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,,60,Yes
,1-5536381,New Institute,B M GROUP OF INSTITUTIONS,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",,GURGAON,GURGAON,122506,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,,60,Yes
,1-5536381,New Institute,B M GROUP OF INSTITUTIONS,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",,GURGAON,GURGAON,122506,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,,60,Yes
5,1-2600621,New Institute,Bawa N.S. JANTA Institute of Management & Technology,Thana Chhapper Road,V.P.O. Mustafabad,Kurukshetra,Yamuna Nagar,133103,Y,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,"MBA HRM, finance, Marketing, IB, IT",120,Yes
6,1-2622725,New Institute,Bells Institute of Management & Technology Group of Institutions,Knowledge City,"Mehli, Shimla 171009",Shimla,Shimla,171009,,,Himachal Pradesh,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,,120,Yes
,1-2622725,New Institute,Bells Institute of Management & Technology Group of Institutions,Knowledge City,"Mehli, Shimla 171009",Shimla,Shimla,171009,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,,60,Yes
,1-2622725,New Institute,Bells Institute of Management & Technology Group of Institutions,Knowledge City,"Mehli, Shimla 171009",Shimla,Shimla,171009,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,,60,Yes
,1-2622725,New Institute,Bells Institute of Management & Technology Group of Institutions,Knowledge City,"Mehli, Shimla 171009",Shimla,Shimla,171009,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,,120,Yes
,1-2622725,New Institute,Bells Institute of Management & Technology Group of Institutions,Knowledge City,"Mehli, Shimla 171009",Shimla,Shimla,171009,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,,60,Yes
7,1-7587421,New Institute,BKN Institute of Management & Technology,"NH-10, Rohtak Road, Near Vill. Kharkara, Teh. Meham",,Rohtak,Rohtak,124001,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,mba,60,Yes
8,1-5424041,New Institute,Cambridge Engineering College,"Village Isherhail, Tehsil & Dist. Fatehgarh Sahib",,Fatehgarh Sahib,Fatehgarh Sahib,141407,,,Punjab,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CS,60,Yes
,1-5424041,New Institute,Cambridge Engineering College,"Village Isherhail, Tehsil & Dist. Fatehgarh Sahib",,Fatehgarh Sahib,Fatehgarh Sahib,141407,,,Punjab,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,CE,60,Yes
,1-5424041,New Institute,Cambridge Engineering College,"Village Isherhail, Tehsil & Dist. Fatehgarh Sahib",,Fatehgarh Sahib,Fatehgarh Sahib,141407,,,Punjab,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,ECE,60,Yes
,1-5424041,New Institute,Cambridge Engineering College,"Village Isherhail, Tehsil & Dist. Fatehgarh Sahib",,Fatehgarh Sahib,Fatehgarh Sahib,141407,,,Punjab,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,Yes
,1-5424041,New Institute,Cambridge Engineering College,"Village Isherhail, Tehsil & Dist. Fatehgarh Sahib",,Fatehgarh Sahib,Fatehgarh Sahib,141407,,,Punjab,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,IT,60,Yes
9,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,ECE,60,Yes
,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CS,60,Yes
,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,Yes
,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EE,60,Yes
,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,CE,60,Yes
,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,MCA,Master in Computer Application,Post Graduate,MCA,120,Yes
,1-3104511,New Institute,CBS Group Of Institutions,"CBS Group of Institutions, Village Fathepuri, District Jhajjar, Haryana",,Jhajjar,Jhajjar,124103,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,120,Yes
10,1-10720681,New Institute,CEREBRAL INSTITUTE OF MANAGEMENT & TECHNOLOGY,CHANDRASEL,,KOTA,KOTA,324002,,,Rajasthan,North-West,Unaided-Private,Management,PG Diploma in Management,Post Graduate,PGDM/MANAGEMENT,60,Yes
11,1-2781841,New Institute,CLG Institute of Engineering and Technology,Keshar Bag,Jawai Bandh Road,Kota-324010,Pali,306902,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics & Communication Engineering(ECE),60,Yes
,1-2781841,New Institute,CLG Institute of Engineering and Technology,Keshar Bag,Jawai Bandh Road,Kota-324010,Pali,306902,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science & Engineering(CSE),60,Yes
,1-2781841,New Institute,CLG Institute of Engineering and Technology,Keshar Bag,Jawai Bandh Road,Kota-324010,Pali,306902,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,Information Technology(IT),60,Yes
,1-2781841,New Institute,CLG Institute of Engineering and Technology,Keshar Bag,Jawai Bandh Road,Kota-324010,Pali,306902,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering(CE),60,Yes
,1-2781841,New Institute,CLG Institute of Engineering and Technology,Keshar Bag,Jawai Bandh Road,Kota-324010,Pali,306902,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering(EE),60,Yes
12,1-7723031,New Institute,Deen Dayal Rustagi College Of Management And Technology,C/O Dwarka Fashion Haily Mandi Distt-Gurgaon,,Khandewla,Gurgaon,122504,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,Master of Business Administration,60,Yes
13,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,M.B.A.,60,Yes
,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,M.B.A.,60,Yes
,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering (ME),60,Yes
,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,Information Technology (IT),60,Yes
,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,Electronics & Communication (ECE),60,Yes
,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering (EE),60,Yes
,1-8463691,New Institute,Deep Institute of Engineering & Technology & Group Institutions,"Village Rithoda, Tehsil Nuh, Distt. Mewat (Haryana)",,Nuh,Mewat,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Sc. & Engineering (CS),60,Yes
14,1-5214491,New Institute,Dev Bhumy Institute of Engineering & Technology,"Village - Chandpur, Near - Lalehari,","Tehsil  - Haroli, Distt - UNA, HP",UNA,UNA,177220,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Engineering & Technology,60,Yes
,1-5214491,New Institute,Dev Bhumy Institute of Engineering & Technology,"Village - Chandpur, Near - Lalehari,","Tehsil  - Haroli, Distt - UNA, HP",UNA,UNA,177220,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Prduction Engineering,Graduate,Engineering & Technology,60,Yes
,1-5214491,New Institute,Dev Bhumy Institute of Engineering & Technology,"Village - Chandpur, Near - Lalehari,","Tehsil  - Haroli, Distt - UNA, HP",UNA,UNA,177220,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Engineering & Technology,60,Yes
,1-5214491,New Institute,Dev Bhumy Institute of Engineering & Technology,"Village - Chandpur, Near - Lalehari,","Tehsil  - Haroli, Distt - UNA, HP",UNA,UNA,177220,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Engineering & Technology,60,Yes
,1-5214491,New Institute,Dev Bhumy Institute of Engineering & Technology,"Village - Chandpur, Near - Lalehari,","Tehsil  - Haroli, Distt - UNA, HP",UNA,UNA,177220,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,Engineering & Technology,60,Yes
15,1-2402821,New Institute,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY FOR WOMEN,"KALWARA, NEAR MAHINDRA WORD CITY (SEZ), JAIPUR","AJMER ROAD, JAIPUR",JAIPUR,JAIPUR,302029,,Y,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,E&CE,60,Yes
,1-2402821,New Institute,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY FOR WOMEN,"KALWARA, NEAR MAHINDRA WORD CITY (SEZ), JAIPUR","AJMER ROAD, JAIPUR",JAIPUR,JAIPUR,302029,,Y,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Automation & Robotics,Graduate,A&R,60,Yes
,1-2402821,New Institute,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY FOR WOMEN,"KALWARA, NEAR MAHINDRA WORD CITY (SEZ), JAIPUR","AJMER ROAD, JAIPUR",JAIPUR,JAIPUR,302029,,Y,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CSE,60,Yes
,1-2402821,New Institute,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY FOR WOMEN,"KALWARA, NEAR MAHINDRA WORD CITY (SEZ), JAIPUR","AJMER ROAD, JAIPUR",JAIPUR,JAIPUR,302029,,Y,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,EEE,60,Yes
,1-2402821,New Institute,DR. RADHAKRISHNAN INSTITUTE OF TECHNOLOGY FOR WOMEN,"KALWARA, NEAR MAHINDRA WORD CITY (SEZ), JAIPUR","AJMER ROAD, JAIPUR",JAIPUR,JAIPUR,302029,,Y,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,IT,60,Yes
16,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,Engineering & Technology,MBA,Post Graduate,MBA,60,Yes
,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,ECE,60,Yes
,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,120,Yes
,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,IT,60,Yes
,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,,60,Yes
,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,MCA,Master in Computer Application,Post Graduate,MCA,60,Yes
,1-4514021,New Institute,E - Max Group of Institutions,"village gola, po bhadauli, tehsil mullana",,ambala,ambala,134203,,,Haryana,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,MBA,60,Yes
17,1-3565581,New Institute,Era Business School,"HAF-1, Sector-9,Phase-I",,Dwarka,Dwarka,110077,,,New Delhi,North-West,Unaided - Private,Management,PG Diploma in Management,Post Graduate,PGDM,120,Yes
18,1-3143681,New Institute,FACULTY OF ENGINEERING AND TECHNOLOGY,JRN RAJASTHAN VIDYAPEET (DEEMED) UNIVERSITY,"PRATAP NAGAR, AIRPORT ROAD",UDAIPUR,UDAIPUR,313001,,,Rajasthan,North-West,Govt aided,Engineering & Technology,Electrical / Electrical & Elex,Graduate,B.E. in Electrical and Electronics Engineering,60,Yes
,1-3143681,New Institute,FACULTY OF ENGINEERING AND TECHNOLOGY,JRN RAJASTHAN VIDYAPEET (DEEMED) UNIVERSITY,"PRATAP NAGAR, AIRPORT ROAD",UDAIPUR,UDAIPUR,313001,,,Rajasthan,North-West,Govt aided,Engineering & Technology,Mechanical Engineering,Graduate,B.E. in Mechanical Engineering,60,Yes
,1-3143681,New Institute,FACULTY OF ENGINEERING AND TECHNOLOGY,JRN RAJASTHAN VIDYAPEET (DEEMED) UNIVERSITY,"PRATAP NAGAR, AIRPORT ROAD",UDAIPUR,UDAIPUR,313001,,,Rajasthan,North-West,Govt aided,Engineering & Technology,Computer Science & Engineering,Graduate,B.E. in Computer Science and Engineering,60,Yes
,1-3143681,New Institute,FACULTY OF ENGINEERING AND TECHNOLOGY,JRN RAJASTHAN VIDYAPEET (DEEMED) UNIVERSITY,"PRATAP NAGAR, AIRPORT ROAD",UDAIPUR,UDAIPUR,313001,,,Rajasthan,North-West,Govt aided,Engineering & Technology,Civil Engineering,Graduate,B.E. in Civil,60,Yes
,1-3143681,New Institute,FACULTY OF ENGINEERING AND TECHNOLOGY,JRN RAJASTHAN VIDYAPEET (DEEMED) UNIVERSITY,"PRATAP NAGAR, AIRPORT ROAD",UDAIPUR,UDAIPUR,313001,,,Rajasthan,North-West,Govt aided,Engineering & Technology,Electronics and Communication,Graduate,B.E. in Electronics and Communication,60,Yes
19,1-7345501,New Institute,Guru Nanak College Budhlada,Bareta Jakhal Road,,Budhlada,Mansa,151502,N,,Punjab,North-West,Govt aided,MCA,Master in Computer Application,Post Graduate,Master in Computer Application,60,Yes
20,1-3634051,New Institute,GYAYAK COLLEGE OF MANAGEMENT,"VILLAGE & POST - KUPRA,BANSWARA",DUNGARPUR BANSWARA ROAD,,BANSWARA,327001,,,Rajasthan,North-West,Unaided - Private,Management,Master in Business Admin,Post Graduate,HRM/MARKETING/FINANCE AS PER UNIVERSITY SYLLABUS,60,Yes
21,1-991901,New Institute,Himachal Institute of Engineering and Technology,Pritam Nagar,,Shahpur,Kangra,176223,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,Electronics & Communication,60,Yes
,1-991901,New Institute,Himachal Institute of Engineering and Technology,Pritam Nagar,,Shahpur,Kangra,176223,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science & Engineering,60,Yes
,1-991901,New Institute,Himachal Institute of Engineering and Technology,Pritam Nagar,,Shahpur,Kangra,176223,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical Engineering,60,Yes
,1-991901,New Institute,Himachal Institute of Engineering and Technology,Pritam Nagar,,Shahpur,Kangra,176223,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil Engineering,60,Yes
,1-991901,New Institute,Himachal Institute of Engineering and Technology,Pritam Nagar,,Shahpur,Kangra,176223,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical Engineering,60,Yes
22,1-5926311,New Institute,INNOVATIVE INSTITUTE OF TECHNOLOGY & MANAGEMENT,"64 KM MILESTONE, NATIONAL HIGHWAY, GNNAUR, SONEPAT",,SONEPAT,SONEPAT,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,Yes
,1-5926311,New Institute,INNOVATIVE INSTITUTE OF TECHNOLOGY & MANAGEMENT,"64 KM MILESTONE, NATIONAL HIGHWAY, GNNAUR, SONEPAT",,SONEPAT,SONEPAT,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Information Technology,Graduate,IT,60,Yes
,1-5926311,New Institute,INNOVATIVE INSTITUTE OF TECHNOLOGY & MANAGEMENT,"64 KM MILESTONE, NATIONAL HIGHWAY, GNNAUR, SONEPAT",,SONEPAT,SONEPAT,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,ECE,60,Yes
,1-5926311,New Institute,INNOVATIVE INSTITUTE OF TECHNOLOGY & MANAGEMENT,"64 KM MILESTONE, NATIONAL HIGHWAY, GNNAUR, SONEPAT",,SONEPAT,SONEPAT,,,,Haryana,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,CSE,60,Yes
23,1-4587015,New Institute,INTERNATIONAL INSTITUTE OF PHARMACEUTICAL SCIENCES,JHUNDPUR,,Sonepat,SONEPAT,131023,,,Haryana,North-West,Unaided-Private,Pharmacy,Pharmacy,Graduate,B.Pharmacy,60,Yes
24,1-3106281,New Institute,Iqbal Memorial Trust's Group of Institutions(Iqbal Institute of Technology and Management 'IITM'),Laloo Sheshgari Bagh Hyderpora Srinagar kashmir-190013,Iqbal Abad Bemina Srinagar Kashmir 190018,srinagar,srinagar,190013,Y,,Jammu and Kashmir,North-West,Unaided-Private,Management,Master in Business Admin,Post Graduate,,60,Yes
,1-3106281,New Institute,Iqbal Memorial Trust's Group of Institutions(Iqbal Institute of Technology and Management 'IITM'),Laloo Sheshgari Bagh Hyderpora Srinagar kashmir-190013,Iqbal Abad Bemina Srinagar Kashmir 190018,srinagar,srinagar,190013,Y,,Jammu and Kashmir,North-West,Unaided-Private,MCA,Master in Computer Application,Post Graduate,,60,Yes
,1-3106281,New Institute,Iqbal Memorial Trust's Group of Institutions(Iqbal Institute of Technology and Management 'IITM'),Laloo Sheshgari Bagh Hyderpora Srinagar kashmir-190013,Iqbal Abad Bemina Srinagar Kashmir 190018,srinagar,srinagar,190013,Y,,Jammu and Kashmir,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,,60,Yes
,1-3106281,New Institute,Iqbal Memorial Trust's Group of Institutions(Iqbal Institute of Technology and Management 'IITM'),Laloo Sheshgari Bagh Hyderpora Srinagar kashmir-190013,Iqbal Abad Bemina Srinagar Kashmir 190018,srinagar,srinagar,190013,Y,,Jammu and Kashmir,North-West,Unaided-Private,Engineering & Technology,Electronics and Communication,Graduate,,60,Yes
,1-3106281,New Institute,Iqbal Memorial Trust's Group of Institutions(Iqbal Institute of Technology and Management 'IITM'),Laloo Sheshgari Bagh Hyderpora Srinagar kashmir-190013,Iqbal Abad Bemina Srinagar Kashmir 190018,srinagar,srinagar,190013,Y,,Jammu and Kashmir,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,,60,Yes
25,1-7278641,New Institute,"""Jagan Institute of Management Studies"" Group of Institutions","3, Institutional Area, Sector-5, Rohini",Delhi,Delhi,Delhi,110085,,,New Delhi,North-West,Unaided-Private,MCA,Master in Computer Application,Post Graduate,Computer Applications,60,Yes
,1-7278641,New Institute,"""Jagan Institute of Management Studies"" Group of Institutions","3, Institutional Area, Sector-5, Rohini",Delhi,Delhi,Delhi,110085,,,New Delhi,North-West,Unaided-Private,Management,PG Diploma in Management,Post Graduate,Marketing/Finance/HR/IB/IT,60,Yes
,1-7278641,New Institute,"""Jagan Institute of Management Studies"" Group of Institutions","3, Institutional Area, Sector-5, Rohini",Delhi,Delhi,Delhi,110085,,,New Delhi,North-West,Unaided-Private,Management,PG Diploma in Management,Post Graduate,Marketing/Finance/HR/IB/IT,120,Yes
26,1-4027581,New Institute,JAIPUR INSTITUTE OF ENGINEERING AND MANAGEMENT,NH-8 JAIPUR- AJMER HIGH WAY,VILLAGE  GADOTA,JAIPUR,JAIPUR,,N,,Rajasthan,North-West,Unaided - Private,Engineering & Technology,Civil Engineering,Graduate,CE,60,Yes
,1-4027581,New Institute,JAIPUR INSTITUTE OF ENGINEERING AND MANAGEMENT,NH-8 JAIPUR- AJMER HIGH WAY,VILLAGE  GADOTA,JAIPUR,JAIPUR,,N,,Rajasthan,North-West,Unaided - Private,Engineering & Technology,Mechanical Engineering,Graduate,ME,60,Yes
